Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
acl_icmp_reply_4,permit,icmp,172.17.149.0/25,170.70.49.19/32,any,any
acl_icmp_request_4,permit,icmp,172.17.149.0/25,170.70.49.19/32,any,any
acl_Deny_ICMP,deny,icmp,0.0.0.0/0,0.0.0.0/0,any,any
acl_TCP_170.70.49.19,permit,tcp,172.17.149.62/32,170.70.49.19/32,any,any
acl_TCP_170.70.49.27,permit,tcp,172.17.149.62/32,170.70.49.27/32,any,any
acl_TCP_170.70.26.10,permit,tcp,172.17.149.62/32,170.70.26.10/32,any,any
acl_TCP_170.70.26.11,permit,tcp,172.17.149.62/32,170.70.26.11/32,any,any
acl_TCP_172.17.158.2,permit,tcp,172.17.149.62/32,172.17.158.2/32,any,any
acl_TCP_172.17.158.3,permit,tcp,172.17.149.62/32,172.17.158.3/32,any,any
acl_TCP_172.17.158.4,permit,tcp,172.17.149.62/32,172.17.158.4/32,any,any
acl_TCP_172.17.158.5,permit,tcp,172.17.149.62/32,172.17.158.5/32,any,any
acl_UDP_170.70.49.19,permit,udp,172.17.149.62/32,170.70.49.19/32,any,any
acl_UDP_170.70.49.27,permit,udp,172.17.149.62/32,170.70.49.27/32,any,any
acl_UDP_170.70.26.10,permit,udp,172.17.149.62/32,170.70.26.10/32,any,any
acl_UDP_170.70.26.11,permit,udp,172.17.149.62/32,170.70.26.11/32,any,any
acl_TCP_170.70.49.19_1,permit,tcp,172.17.149.126/32,170.70.49.19/32,any,any
acl_TCP_170.70.49.27_1,permit,tcp,172.17.149.126/32,170.70.49.27/32,any,any
acl_TCP_170.70.26.10_1,permit,tcp,172.17.149.126/32,170.70.26.10/32,any,any
acl_TCP_170.70.26.11_1,permit,tcp,172.17.149.126/32,170.70.26.11/32,any,any
acl_UDP_170.70.49.19_1,permit,udp,172.17.149.126/32,170.70.49.19/32,any,any
acl_UDP_170.70.49.27_1,permit,udp,172.17.149.126/32,170.70.49.27/32,any,any
acl_UDP_170.70.26.10_1,permit,udp,172.17.149.126/32,170.70.26.10/32,any,any
acl_UDP_170.70.26.11_1,permit,udp,172.17.149.126/32,170.70.26.11/32,any,any
acl_TCP_170.70.25.105_1,permit,tcp,172.17.149.126/32,170.70.25.105/32,any,any
acl_TCP_170.70.26.227_1,permit,tcp,172.17.149.126/32,170.70.26.227/32,any,any
acl_TCP_172.17.149.253_2,permit,tcp,172.17.149.62/32,172.17.149.253/32,any,any
acl_UDP_172.17.149.253_2,permit,udp,172.17.149.62/32,172.17.149.253/32,any,any
acl_UDP_123,permit,udp,172.17.149.0/25,170.70.49.40/32,any,any
acl_UDP_123_1,permit,udp,172.17.149.0/25,170.70.49.157/32,any,any
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_GUA_reply_1,permit,icmp,172.17.100.0/24,0.0.0.0/0,any,any
acl_GUA_request_1,permit,icmp,172.17.100.0/24,0.0.0.0/0,any,any
